date,close,adjusted_close
2019-09-01,56.4825,51.8784
2019-10-01,57.4725,52.7877
2019-11-01,59.8200,54.9438
2019-12-01,61.1350,56.3429
2020-01-01,61.5450,56.7207
2020-02-01,55.5400,51.1865
2020-03-01,50.0325,46.3910
2020-04-01,55.2825,51.2589
2020-05-01,57.2475,53.0809
2020-06-01,58.2900,54.2222
2020-07-01,61.5800,57.2826
2020-08-01,66.4050,61.7708
2020-09-01,63.9525,59.7285
2020-10-01,61.9325,57.8419
2020-11-01,68.3500,63.8355
2020-12-01,70.7475,66.2763
2021-01-01,70.7975,66.3232
2021-02-01,72.9250,68.3162
2021-03-01,75.4525,70.9109
2021-04-01,79.3500,74.5738
2021-05-01,80.0125,75.1964
2021-06-01,81.4100,76.7252
2021-07-01,83.3900,78.5912
2021-08-01,86.0250,81.0746
2021-09-01,82.4075,77.9003
2021-10-01,87.1400,82.3740
2021-11-01,87.0775,82.3149
2021-12-01,90.5000,85.7831
2022-01-01,84.6925,80.2783
2022-02-01,83.2700,78.9299
2022-03-01,86.9925,82.7170
2022-04-01,80.1525,76.2132
2022-05-01,78.2450,74.3995
2022-06-01,71.6500,68.3727
2022-07-01,77.6450,74.0935
2022-08-01,75.6025,72.1444
2022-09-01,69.4400,66.4982
2022-10-01,73.4100,70.3000
2022-11-01,75.1625,71.9783
2022-12-01,72.5488,69.7105
2023-01-01,76.7025,73.7017
2023-02-01,75.6425,72.6832
2023-03-01,77.3550,74.6197
2023-04-01,78.7525,75.9678
2023-05-01,79.1075,76.3102
2023-06-01,84.0725,81.3679
2023-07-01,86.8525,84.0585
2023-08-01,85.7700,83.0108
2023-09-01,81.6800,79.3020
2023-10-01,79.0900,76.7874
2023-11-01,86.3600,83.8457
2023-12-01,90.7400,88.3775
2024-01-01,92.5900,90.1793
2024-02-01,96.3775,93.8682
2024-03-01,99.4675,97.1789
2024-04-01,96.3325,94.1160
2024-05-01,98.9025,96.6269
2024-06-01,104.2800,102.1372
2024-07-01,104.8575,102.7028
2024-08-01,106.3050,104.1206
2024-09-01,108.6850,106.7458
2024-10-01,108.6375,106.6992
2024-11-01,114.5738,112.5295
2024-12-01,112.4125,110.7001
2025-01-01,115.8350,114.0705
2025-02-01,111.7075,110.0059
2025-03-01,105.0450,103.7542
2025-04-01,104.4575,103.1739
2025-05-01,111.8350,110.4607
2025-06-01,117.2525,116.1301
2025-07-01,121.1300,119.9705
2025-08-01,122.4350,121.2630
2025-09-01,125.9975,125.0920
2025-10-01,129.6800,128.7480
2025-11-01,129.7925,128.8597
2025-12-01,130.5650,129.9300
2026-01-01,131.4325,130.7933
2026-02-01,130.5000,129.8653
2026-03-01,121.8600,121.5836
2026-04-01,135.8675,135.5594
2026-05-01,143.9550,143.6285
2026-06-01,141.7350,141.7350
2026-07-01,140.9550,140.9550
2026-08-01,147.2650,147.2650
